"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"20/09/2024";"1900";"26,0";"37,6";"26,0";"67,0";"67,0";"32,0";"19,3";"19,3";"16,5";"966,6";"966,6";"964,6";"7,6";"181,0";"16,2";"1203,90";"0,0"
"20/09/2024";"2000";"23,3";"26,2";"23,3";"80,0";"80,0";"66,0";"19,7";"19,7";"19,1";"968,2";"968,7";"966,6";"6,3";"107,0";"16,2";"93,30";"0,0"
"20/09/2024";"2100";"21,2";"23,3";"21,1";"96,0";"97,0";"80,0";"20,6";"20,6";"19,4";"969,8";"970,1";"968,0";"5,6";"89,0";"14,2";"9,00";"5,0"
"20/09/2024";"2200";"20,7";"21,3";"20,7";"98,0";"98,0";"95,0";"20,4";"20,7";"20,2";"968,7";"969,8";"968,7";"6,1";"80,0";"12,6";"3,80";"0,0"
"20/09/2024";"2300";"21,4";"22,2";"20,7";"92,0";"98,0";"84,0";"20,1";"20,4";"19,4";"968,3";"968,7";"967,6";"3,9";"99,0";"13,5";"";"0,0"
"21/09/2024";"0000";"20,4";"21,4";"20,4";"95,0";"97,0";"92,0";"19,7";"20,1";"19,6";"970,2";"970,2";"968,0";"2,8";"96,0";"9,6";"";"0,0"
"21/09/2024";"0100";"20,2";"20,4";"20,1";"98,0";"98,0";"95,0";"19,9";"19,9";"19,6";"970,5";"970,7";"968,9";"3,0";"97,0";"12,1";"";"0,4"
"21/09/2024";"0200";"19,9";"20,2";"19,8";"100,0";"100,0";"98,0";"19,9";"20,0";"19,8";"969,9";"971,5";"969,8";"3,0";"97,0";"9,3";"";"2,2"
"21/09/2024";"0300";"19,4";"20,1";"19,4";"100,0";"100,0";"100,0";"19,4";"20,1";"19,4";"974,1";"974,6";"969,8";"8,0";"234,0";"14,8";"";"4,0"
"21/09/2024";"0400";"18,9";"19,4";"18,9";"100,0";"100,0";"100,0";"18,9";"19,4";"18,9";"974,7";"974,8";"973,4";"5,8";"201,0";"14,8";"";"1,6"
"21/09/2024";"0500";"18,8";"19,0";"18,8";"100,0";"100,0";"100,0";"18,8";"19,0";"18,8";"973,7";"975,6";"973,7";"3,9";"182,0";"11,0";"";"3,8"
"21/09/2024";"0600";"18,9";"19,0";"18,7";"100,0";"100,0";"100,0";"18,9";"19,0";"18,7";"970,3";"973,8";"970,1";"4,2";"63,0";"9,7";"";"0,8"
"21/09/2024";"0700";"18,7";"18,9";"18,7";"100,0";"100,0";"100,0";"18,7";"18,9";"18,7";"970,6";"970,9";"970,1";"4,2";"91,0";"10,1";"";"0,0"
"21/09/2024";"0800";"18,8";"18,8";"18,6";"100,0";"100,0";"100,0";"18,8";"18,8";"18,6";"969,8";"970,7";"969,6";"5,0";"82,0";"10,8";"0,10";"0,0"
"21/09/2024";"0900";"19,0";"19,0";"18,8";"100,0";"100,0";"100,0";"19,0";"19,0";"18,8";"969,4";"969,9";"969,1";"3,2";"72,0";"9,8";"";"0,0"
"21/09/2024";"1000";"19,1";"19,1";"19,0";"100,0";"100,0";"99,0";"19,1";"19,1";"18,9";"970,6";"970,6";"969,2";"3,2";"34,0";"7,1";"18,60";"0,0"
"21/09/2024";"1100";"19,8";"19,8";"19,0";"99,0";"100,0";"99,0";"19,6";"19,7";"19,0";"970,9";"970,9";"970,4";"2,7";"39,0";"5,3";"249,70";"0,0"
"21/09/2024";"1200";"21,0";"21,0";"19,8";"94,0";"99,0";"94,0";"20,0";"20,1";"19,5";"971,0";"971,2";"970,8";"3,4";"28,0";"6,7";"523,40";"0,0"
"21/09/2024";"1300";"22,6";"22,8";"21,0";"86,0";"94,0";"84,0";"20,1";"20,5";"19,8";"970,9";"971,2";"970,8";"5,4";"36,0";"9,0";"1279,30";"0,0"
"21/09/2024";"1400";"24,2";"24,2";"22,6";"79,0";"87,0";"79,0";"20,3";"20,8";"20,0";"971,1";"971,1";"970,7";"4,6";"27,0";"9,4";"1414,30";"0,0"
"21/09/2024";"1500";"25,1";"25,2";"24,2";"73,0";"81,0";"72,0";"19,9";"20,8";"19,6";"970,4";"971,0";"970,4";"4,8";"28,0";"9,7";"1527,80";"0,0"
"21/09/2024";"1600";"27,2";"27,2";"25,1";"65,0";"73,0";"63,0";"20,1";"20,4";"19,3";"969,8";"970,4";"969,6";"3,9";"31,0";"7,7";"1512,00";"0,0"
"21/09/2024";"1700";"27,6";"27,9";"27,1";"61,0";"65,0";"59,0";"19,4";"20,1";"18,9";"968,5";"969,7";"968,5";"2,9";"4,0";"7,3";"1583,20";"0,0"
"21/09/2024";"1800";"26,8";"27,6";"26,8";"64,0";"64,0";"59,0";"19,5";"19,8";"19,0";"967,9";"968,6";"967,8";"2,8";"13,0";"6,1";"743,20";"0,0"
